Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,5,3,327,1,3,3,0,4,0,5,2,2,0,5,6,4,104,53,1,1,12,13,2,4,2,361,0,73,179,1,0,1,4,133,232,0,531,1,0,2,1,3,1,2,6,6,0,2,220,2,0,49,0,0,0,0,0,1,2,8,4,208500
1,0,3,498,1,3,3,0,2,0,24,1,2,0,2,5,7,77,26,1,1,8,8,3,4,1,482,0,167,441,1,0,1,4,426,0,0,259,0,1,2,0,3,1,3,4,6,1,2,149,2,187,0,0,0,0,0,0,4,1,8,4,181500
2,5,3,701,1,0,3,0,4,0,5,2,2,0,5,6,4,102,52,1,1,12,13,2,4,2,222,0,278,214,1,0,1,4,177,239,0,570,1,0,2,1,3,1,2,4,6,1,2,260,2,0,30,0,0,0,0,0,8,2,8,4,223500
3,6,3,489,1,0,3,0,0,0,6,2,2,0,5,6,4,19,20,1,1,13,15,3,4,0,66,0,346,117,1,2,1,4,207,180,0,536,1,0,1,0,3,1,2,5,6,1,3,284,2,0,24,108,0,0,0,0,1,0,8,0,140000
4,5,3,924,1,0,3,0,2,0,15,2,2,0,5,7,4,101,50,1,1,12,13,2,4,2,328,0,318,370,1,0,1,4,346,320,0,734,1,0,2,1,4,1,2,7,6,1,3,380,2,118,70,0,0,0,0,0,11,2,8,4,250000
5,4,3,914,1,0,3,0,4,0,11,2,2,0,0,4,4,94,45,1,1,12,13,3,4,5,372,0,17,140,1,0,1,4,93,80,0,315,1,0,1,1,1,1,3,3,6,0,2,166,2,11,20,0,17,0,0,10,9,3,8,4,143000
6,0,3,551,1,3,3,0,4,0,21,2,2,0,2,7,4,105,55,1,1,12,13,2,4,2,594,0,194,633,1,0,1,4,643,0,0,520,1,0,2,0,3,1,2,5,6,1,2,281,2,163,45,0,0,0,0,0,7,1,8,4,307000
7,5,3,592,1,0,3,0,0,0,14,4,2,0,5,6,5,74,23,1,1,6,6,3,4,1,436,2,120,346,1,0,1,4,316,298,0,701,1,0,2,1,3,1,3,5,6,2,2,170,2,149,156,94,0,0,0,2,10,3,8,4,200000
8,4,4,138,1,3,3,0,4,0,17,0,2,0,0,6,4,35,0,1,1,3,15,3,4,0,0,0,569,237,1,2,1,1,254,177,0,565,0,0,2,0,2,2,3,6,2,2,2,155,2,40,0,83,0,0,0,0,3,2,8,0,129900
9,14,3,222,1,3,3,0,0,0,3,0,0,1,1,4,5,42,0,1,1,8,8,3,4,0,433,0,67,269,1,0,1,4,294,0,0,146,1,0,1,0,2,2,3,3,6,2,1,9,2,0,1,0,0,0,0,0,0,2,8,4,118000
